,S&P,Moody's,DBRS,TE,Rating,Rating numbers,Rating bucket,Outlook,YTM (%),Mod. Duration,Yield to Worst (%),year,YTW,mean_ytw,spread_to_mean
United Arab Emirates,AA,Aa2,,90.0,AA,5,2,Stable,5.323333333333333,6.766111111111112,5.322777777777778,2034.4444444444443,5.322777777777778,5.322777777777778,0.0
Saudi Arabia,A+,Aa3,,80.0,A+,7,3,Stable,5.23764705882353,6.775882352941176,5.23764705882353,2034.4705882352941,5.23764705882353,4.858823529411765,37.88235294117648
China,A+,A1,A,78.0,A+,7,3,Stable,4.95,2.16,4.48,2033.0,4.48,4.858823529411765,-37.88235294117648
Chile,A,A2,,73.0,A,8,3,Stable,5.421111111111111,7.153333333333332,5.415555555555556,2035.4444444444443,5.415555555555556,5.237777777777778,17.777777777777803
Latvia,A,A3,A,72.0,A,8,3,Stable,5.06,6.65,5.06,2034.0,5.06,5.237777777777778,-17.777777777777803
Poland,A-,A2,A,72.0,A-,9,3,Stable,5.087999999999999,6.434,5.086,2033.8,5.086,5.033,5.299999999999994
Malaysia,A-,A3,,68.0,A-,9,3,Stable,4.98,7.1,4.98,2035.0,4.98,5.033,-5.299999999999994
Bulgaria,BBB+,Baa1,BBB (high),61.0,BBB+,10,4,Stable,5.36,8.24,5.36,2037.0,5.36,5.2411111111111115,11.888888888888882
Philippines,BBB+,Baa2,,61.0,BBB+,10,4,Stable,5.2700000000000005,6.927142857142857,5.2700000000000005,2034.857142857143,5.2700000000000005,5.2411111111111115,2.8888888888888964
Uruguay,BBB+,Baa1,BBB,61.0,BBB+,10,4,Stable,5.096666666666667,6.783333333333334,5.093333333333334,2035.6666666666667,5.093333333333334,5.2411111111111115,-14.777777777777779
Indonesia,BBB,Baa2,,60.0,BBB,11,4,Stable,5.474615384615385,7.021538461538461,5.473846153846154,2035.2307692307693,5.473846153846154,5.634823717948717,-16.09775641025637
Kazakhstan,BBB-,Baa1,,60.0,BBB-,12,4,Stable,5.285,7.625,5.285,2036.0,5.285,5.765333333333333,-48.03333333333333
Peru,BBB-,Baa1,,60.0,BBB-,12,4,Stable,5.388,6.828,5.388,2035.0,5.388,5.765333333333333,-37.73333333333335
Hungary,BBB-,Baa2,BBB,58.0,BBB-,12,4,Stable,5.695,7.0775,5.695,2035.0,5.695,5.765333333333333,-7.033333333333314
Mexico,BBB,Baa2,BBB,58.0,BBB,11,4,Stable,6.27625,6.61875,6.270625,2034.875,6.270625,5.634823717948717,63.58012820512826
India,BBB,Baa3,BBB,56.0,BBB,11,4,Stable,5.16,6.195,5.16,2034.0,5.16,5.634823717948717,-47.48237179487171
Romania,BBB-,Baa3,BB (high),55.0,BBB-,12,4,Stable,6.405714285714287,6.607142857142857,6.405714285714287,2035.0,6.405714285714287,5.765333333333333,64.03809523809531
Oman,BBB-,Baa3,,53.0,BBB-,12,4,Stable,5.225,5.9,5.225,2033.0,5.225,5.765333333333333,-54.033333333333374
Panama,BBB-,Baa3,,53.0,BBB-,12,4,Stable,5.881428571428572,6.821428571428571,5.874285714285714,2035.7142857142858,5.874285714285714,5.765333333333333,10.895238095238025
Colombia,BB,Baa3,BB (high),52.0,BB,14,5,Stable,7.165,6.238333333333333,7.155,2034.6666666666667,7.155,6.418857142857142,73.61428571428581
Morocco,BBB-,Ba1,,51.0,BBB-,12,4,Stable,5.58,5.86,5.58,2033.0,5.58,5.765333333333333,-18.533333333333335
Serbia,BBB-,Ba2,,50.0,BBB-,12,4,Stable,5.800000000000001,6.09,5.800000000000001,2033.5,5.800000000000001,5.765333333333333,3.466666666666729
Trinidad and Tobago,BBB-,Ba2,,50.0,BBB-,12,4,Stable,6.635,7.07,6.635,2036.0,6.635,5.765333333333333,86.96666666666664
Guatemala,BB+,Ba1,,48.0,BB+,13,5,Stable,5.88,6.75,5.88,2036.0,5.88,5.88,0.0
Brazil,BB,Ba1,BB,46.0,BB,14,5,Stable,6.119999999999999,6.401428571428572,6.119999999999999,2034.5714285714287,6.119999999999999,6.418857142857142,-29.885714285714293
Costa Rica,BB,Ba2,,43.0,BB,14,5,Stable,5.59,5.59,5.58,2034.0,5.58,6.418857142857142,-83.88571428571422
Dominican Republic,BB,Ba2,,41.0,BB,14,5,Stable,6.4957142857142856,7.011428571428572,6.494285714285715,2035.5714285714287,6.494285714285715,6.418857142857142,7.542857142857251
South Africa,BB,Ba2,,41.0,BB,14,5,Stable,6.744999999999999,7.609999999999999,6.744999999999999,2036.5,6.744999999999999,6.418857142857142,32.61428571428571
Turkey,BB-,Ba3,BB (high),40.0,BB-,15,5,Stable,7.260909090909092,6.433636363636364,7.260909090909092,2035.0,7.260909090909092,7.762954545454546,-50.204545454545446
Benin,BB-,B1,,36.0,BB-,15,5,Stable,8.265,7.035,8.265,2038.0,8.265,7.762954545454546,50.204545454545446
Bahrain,B,B2,,31.0,B,17,6,Stable,7.461,6.5920000000000005,7.461,2035.3,7.461,8.452,-99.09999999999997
Zambia,CCC+,Caa2,,30.0,CCC+,20,7,Stable,8.09,2.6,8.09,2033.0,8.09,11.549444444444445,-345.9444444444445
Nigeria,B-,B3,,26.0,B-,18,6,Stable,7.904999999999999,6.33,7.904999999999999,2035.25,7.904999999999999,8.731666666666666,-82.66666666666663
Angola,B-,B3,,25.0,B-,18,6,Stable,9.695,5.8149999999999995,9.695,2035.0,9.695,8.731666666666666,96.33333333333347
Egypt,B,Caa1,,25.0,B,17,6,Stable,8.45,5.27,8.45,2033.0,8.45,8.452,-0.2000000000000668
Kenya,B,B3,,25.0,B,17,6,Stable,9.445,5.665,9.445,2035.0,9.445,8.452,99.30000000000004
Ecuador,B-,Caa1,,23.0,B-,18,6,Stable,8.966666666666667,5.043333333333334,8.966666666666667,2034.3333333333333,8.966666666666667,8.731666666666666,23.50000000000012
Ghana,B-,Caa1,,21.0,B-,18,6,Stable,8.36,5.19,8.36,2035.0,8.36,8.731666666666666,-37.166666666666615
Senegal,CCC+,Caa1,,20.0,CCC+,20,7,Stable,19.92,4.09,19.92,2033.0,19.92,11.549444444444445,837.0555555555557
