,S&P,Moody's,DBRS,TE,Rating,Rating numbers,Rating bucket,Outlook,YTM (%),Mod. Duration,Yield to Worst (%),year,YTW,mean_ytw,spread_to_mean
Czech Republic,AA-,Aa3,AA,85.0,AA-,6,2,Stable,3.972,4.694,3.972,2030.8666666666666,3.972,3.972,0.0
China,A+,A1,A,78.0,A+,7,3,Stable,1.5471428571428572,4.551785714285715,1.5471428571428572,2030.392857142857,1.5471428571428572,1.5471428571428572,0.0
Chile,A,A2,,73.0,A,8,3,Stable,5.0042857142857144,4.514285714285714,5.0042857142857144,2031.0,5.0042857142857144,5.0042857142857144,0.0
Poland,A-,A2,A,72.0,A-,9,3,Stable,4.266666666666667,3.9691666666666667,4.266666666666667,2030.1666666666667,4.266666666666667,3.774166666666667,49.24999999999997
Malaysia,A-,A3,,68.0,A-,9,3,Stable,3.2816666666666667,4.341666666666667,3.2816666666666667,2030.3333333333333,3.2816666666666667,3.774166666666667,-49.250000000000014
Thailand,BBB+,Baa1,,65.0,BBB+,10,4,Stable,1.3278571428571428,4.186428571428571,1.3278571428571428,2030.0,1.3278571428571428,4.305595238095238,-297.7738095238095
Uruguay,BBB+,Baa1,BBB,61.0,BBB+,10,4,Stable,7.3,3.793333333333333,7.283333333333334,2030.6666666666667,7.283333333333334,4.305595238095238,297.77380952380963
Indonesia,BBB,Baa2,,60.0,BBB,11,4,Stable,5.703913043478261,4.164347826086956,5.703913043478261,2030.8260869565217,5.703913043478261,6.80981884057971,-110.59057971014488
Peru,BBB-,Baa1,,60.0,BBB-,12,4,Stable,4.846666666666667,4.541666666666667,4.846666666666667,2031.1666666666667,4.846666666666667,5.565618686868687,-71.89520202020203
Hungary,BBB-,Baa2,BBB,58.0,BBB-,12,4,Stable,6.326363636363637,4.356363636363636,6.326363636363637,2030.6363636363637,6.326363636363637,5.565618686868687,76.074494949495
Mexico,BBB,Baa2,BBB,58.0,BBB,11,4,Stable,8.3325,3.95,8.3325,2030.75,8.3325,6.80981884057971,152.26811594202897
India,BBB,Baa3,BBB,56.0,BBB,11,4,Stable,6.39304347826087,4.131739130434783,6.39304347826087,2030.608695652174,6.39304347826087,6.80981884057971,-41.67753623188402
Romania,BBB-,Baa3,BB (high),55.0,BBB-,12,4,Stable,6.459444444444444,4.045555555555556,6.459444444444444,2030.6666666666667,6.459444444444444,5.565618686868687,89.38257575757574
Colombia,BB,Baa3,BB (high),52.0,BB,14,5,Stable,12.247142857142858,3.6957142857142857,12.247142857142858,2031.0,12.247142857142858,10.616646825396826,163.04960317460325
Serbia,BBB-,Ba2,,48.0,BBB-,12,4,Stable,4.63,4.026666666666666,4.63,2030.3333333333333,4.63,5.565618686868687,-93.5618686868687
Brazil,BB,Ba1,BB,46.0,BB,14,5,Stable,13.334444444444445,3.143333333333333,13.334444444444445,2029.888888888889,13.334444444444445,10.616646825396826,271.7797619047619
Dominican Republic,BB,Ba2,,41.0,BB,14,5,Stable,9.3,4.53,9.21,2033.0,9.21,10.616646825396826,-140.6646825396825
South Africa,BB,Ba2,,41.0,BB,14,5,Stable,7.675,4.295,7.675,2031.5,7.675,10.616646825396826,-294.1646825396826
Turkey,BB-,Ba3,BB (high),38.0,BB-,15,5,Stable,30.15888888888889,2.307777777777778,30.15888888888889,2030.3333333333333,30.15888888888889,30.15888888888889,0.0
